# time_ns ram_addr data nMRD nMWR Q SC
442375 0088 F8 0 1 1 00
444375 0089 71 0 1 1 01
446375 008A 7F 0 1 1 00
448375 008B F2 0 1 1 01
450375 008C 52 0 1 1 00
452375 00AE 7F 1 1 1 01
454375 008D 12 0 1 1 00
456375 00AE 00 1 1 1 01
458375 008E F8 0 1 1 00
460375 008F 4A 0 1 1 01
462375 0090 77 0 1 1 00
464375 00AF C1 0 1 1 01
466375 0091 52 0 1 1 00
468375 00AF 88 1 1 1 01
470375 0092 12 0 1 1 00
472375 00AF 00 1 1 1 01
474375 0093 F8 0 1 1 00
476375 0094 1B 0 1 1 01
478375 0095 FF 0 1 1 00
480375 0096 1A 0 1 1 01
482375 0097 52 0 1 1 00
484375 00B0 01 1 1 1 01
486375 0098 30 0 1 1 00
488375 0099 B1 0 1 1 01
490375 00B1 31 0 1 1 00
492375 00B2 B5 0 1 1 01
494375 00B2 00 1 1 1 11
496375 00B5 7A 0 1 1 00
498375 00B5 00 1 1 0 01
500375 00B6 39 0 1 0 00
502375 00B7 B3 0 1 0 01
504375 00B3 3A 0 1 0 00
506375 00B4 B8 0 1 0 01
508375 00B8 3C 0 1 0 00
510375 00B9 B3 0 1 0 01
512375 00BA 34 0 1 0 00
514375 00BB BE 0 1 0 01
516375 00BE C8 0 1 0 00
518375 00BF 00 1 1 0 01
520375 00BF 00 1 1 0 01
522375 00C1 C0 0 1 0 00
524375 00C2 01 0 1 0 01
526375 00C3 00 0 1 0 01
528375 0100 F8 0 1 0 00
530375 0101 12 0 1 0 01
532375 0102 CA 0 1 0 00
534375 0103 00 0 1 0 01
536375 0104 C4 0 1 0 01
538375 00C4 C5 0 1 0 00
540375 00C5 00 1 1 0 01
542375 00C5 00 1 1 0 01
544375 00C7 C9 0 1 0 00
546375 00C8 01 0 1 0 01
548375 00C9 05 0 1 0 01
550375 0105 F8 0 1 0 00
552375 0106 00 0 1 0 01
554375 0107 C2 0 1 0 00
556375 0108 00 0 1 0 01
558375 0109 CA 0 1 0 01
560375 00CA CF 0 1 0 00
562375 00CB 00 1 1 0 01
564375 00CB 00 1 1 0 01
566375 00CD C3 0 1 0 00
568375 00CE 01 0 1 0 01
570375 00CF 0A 0 1 0 01
572375 010A 7B 0 1 0 00
574375 010A 00 1 1 1 01
576375 010B C1 0 1 1 00
578375 010C 00 0 1 1 01
580375 010D F2 0 1 1 01
582375 00F2 B2 0 1 1 00
584375 00F2 00 1 1 1 01
586375 00F3 B9 0 1 1 00
588375 00F3 00 1 1 1 01
590375 00F4 F8 0 1 1 00
592375 00F5 FF 0 1 1 01
594375 00F6 A2 0 1 1 00
596375 00F6 00 1 1 1 01
598375 00F7 A9 0 1 1 00
600375 00F7 00 1 1 1 01
602375 00F8 F8 0 1 1 00
604375 00F9 00 0 1 1 01
606375 00FA 32 0 1 1 00
608375 00FB D0 0 1 1 01
610375 00D0 B1 0 1 1 00
612375 00D0 00 1 1 1 01
614375 00D1 F8 0 1 1 00
616375 00D2 E2 0 1 1 01
618375 00D3 A1 0 1 1 00
620375 00D3 00 1 1 1 01
622375 00D4 E3 0 1 1 00
624375 00D4 00 1 1 1 01
626375 00D5 70 0 1 1 00
628375 00D6 23 0 1 1 01
630375 00D7 7A 0 1 1 00
632375 00D7 00 1 1 0 01
634375 00D8 00 0 1 0 00
636375 00D8 00 1 1 0 01
638375 00D8 00 1 1 0 01
640375 00D8 00 1 1 0 01
642375 00D8 00 1 1 0 01
644375 00D8 00 1 1 0 01
646375 00D8 00 1 1 0 01
648375 00D8 00 1 1 0 01
650375 00D8 00 1 1 0 01
652375 00D8 00 1 1 0 01
654375 00D8 00 1 1 0 01
656375 00D8 00 1 1 0 01
658375 00D8 00 1 1 0 01
660375 00D8 00 1 1 0 01
662375 00D8 00 1 1 0 01
664375 00D8 00 1 1 0 01
666375 00D8 00 1 1 0 01
668375 00D8 00 1 1 0 01
670375 00D8 00 1 1 0 01
672375 00D8 00 1 1 0 01
674375 00D8 00 1 1 0 01
676375 00D8 00 1 1 0 01
678375 00D8 00 1 1 0 01
680375 00D8 00 1 1 0 01
682375 00D8 00 1 1 0 01
684375 00D8 00 1 1 0 01
686375 00D8 00 1 1 0 01
688375 00D8 00 1 1 0 01
690375 00D8 00 1 1 0 01
692375 00D8 00 1 1 0 01
694375 00D8 00 1 1 0 01
696375 00D8 00 1 1 0 01
698375 00D8 00 1 1 0 01
700375 00D8 00 1 1 0 11
702375 00E2 78 0 1 0 00
704375 00FF 23 1 1 0 01
706375 00E3 E9 0 1 0 00
708375 00E3 00 1 1 0 01
710375 00E4 70 0 1 0 00
712375 00FF 23 0 1 0 01
714375 00D9 C0 0 1 0 00
716375 00DA 01 0 1 0 01
718375 00DB 0E 0 1 0 01
720375 010E 65 0 1 0 00
722375 00FF 23 0 1 0 01
724375 010F C4 0 1 0 00
726375 010F 00 1 1 0 01
728375 010F 00 1 1 0 01
730375 0110 6D 0 1 0 00
732375 0100 C5 1 0 0 01
734375 0111 79 0 1 0 00
736375 0100 23 1 1 0 01
738375 0112 7B 0 1 0 00
740375 0112 00 1 1 1 01
742375 0113 23 0 1 1 00
744375 0114 00 1 1 1 01
746375 0113 23 0 1 1 00
748375 0114 00 1 1 1 01
750375 0113 23 0 1 1 00
752375 0114 00 1 1 1 01
754375 0113 23 0 1 1 00
756375 0114 00 1 1 1 01
758375 0113 23 0 1 1 00
760375 0114 00 1 1 1 01
762375 0113 23 0 1 1 00
764375 0114 00 1 1 1 01
766375 0113 23 0 1 1 00
768375 0114 00 1 1 1 01
770375 0113 23 0 1 1 00
772375 0114 00 1 1 1 01
774375 0113 23 0 1 1 00
776375 0114 00 1 1 1 01
778375 0113 23 0 1 1 00
780375 0114 00 1 1 1 01
782375 0113 23 0 1 1 00
784375 0114 00 1 1 1 01
786375 0113 23 0 1 1 00
788375 0114 00 1 1 1 01
790375 0113 23 0 1 1 00
792375 0114 00 1 1 1 01
794375 0113 23 0 1 1 00
796375 0114 00 1 1 1 01
798375 0113 23 0 1 1 00
800375 0114 00 1 1 1 01
802375 0113 23 0 1 1 00
804375 0114 00 1 1 1 01
806375 0113 23 0 1 1 00
808375 0114 00 1 1 1 01
810375 0113 23 0 1 1 00
812375 0114 00 1 1 1 01
814375 0113 23 0 1 1 00
816375 0114 00 1 1 1 01
818375 0113 23 0 1 1 00
820375 0114 00 1 1 1 01
822375 0113 23 0 1 1 00
824375 0114 00 1 1 1 01
826375 0113 23 0 1 1 00
828375 0114 00 1 1 1 01
830375 0113 23 0 1 1 00
832375 0114 00 1 1 1 01
834375 0113 23 0 1 1 00
836375 0114 00 1 1 1 01
838375 0113 23 0 1 1 00
840375 0114 00 1 1 1 01
842375 0113 23 0 1 1 00
844375 0114 00 1 1 1 01
846375 0113 23 0 1 1 00
848375 0114 00 1 1 1 01
850375 0113 23 0 1 1 00
852375 0114 00 1 1 1 01
854375 0113 23 0 1 1 00
856375 0114 00 1 1 1 01
858375 0113 23 0 1 1 00
860375 0114 00 1 1 1 01
862375 0113 23 0 1 1 00
864375 0114 00 1 1 1 01
866375 0113 23 0 1 1 00
868375 0114 00 1 1 1 01
870375 0113 23 0 1 1 00
872375 0114 00 1 1 1 01
874375 0113 23 0 1 1 00
876375 0114 00 1 1 1 01
878375 0113 23 0 1 1 00
880375 0114 00 1 1 1 01
882375 0113 23 0 1 1 00
884375 0114 00 1 1 1 01
886375 0113 23 0 1 1 00
888375 0114 00 1 1 1 01
890375 0113 23 0 1 1 00
892375 0114 00 1 1 1 01
894375 0113 23 0 1 1 00
896375 0114 00 1 1 1 01
898375 0113 23 0 1 1 00
900375 0114 00 1 1 1 01
902375 0113 23 0 1 1 00
904375 0114 00 1 1 1 01
906375 0113 23 0 1 1 00
908375 0114 00 1 1 1 01
910375 0113 23 0 1 1 00
912375 0114 00 1 1 1 01
914375 0113 23 0 1 1 00
916375 0114 00 1 1 1 01
918375 0113 23 0 1 1 00
920375 0114 00 1 1 1 01
922375 0113 23 0 1 1 00
924375 0114 00 1 1 1 01
926375 0113 23 0 1 1 00
928375 0114 00 1 1 1 01
930375 0113 23 0 1 1 00
932375 0114 00 1 1 1 01
934375 0113 23 0 1 1 00
936375 0114 00 1 1 1 01
938375 0113 23 0 1 1 00
940375 0114 00 1 1 1 01
942375 0113 23 0 1 1 00
944375 0114 00 1 1 1 01
946375 0113 23 0 1 1 00
948375 0114 00 1 1 1 01
950375 0113 23 0 1 1 00
952375 0114 00 1 1 1 01
954375 001E 1E 0 1 1 10
956375 001F 1E 0 1 1 10
958375 0020 20 0 1 1 10
960375 0021 20 0 1 1 10
962375 0022 20 0 1 1 10
964375 0023 20 0 1 1 10
966375 0024 20 0 1 1 10
968375 0025 E2 0 1 1 10
970375 0026 93 0 1 1 10
972375 0027 B2 0 1 1 10
974375 0028 F8 0 1 1 10
976375 0029 9A 0 1 1 10
978375 002A A2 0 1 1 10
980375 002B F8 0 1 1 10
982375 002C 92 0 1 1 10
984375 002D F1 0 1 1 10
986375 002E 52 0 1 1 10
988375 002F 12 0 1 1 10
990375 0030 F9 0 1 1 10
992375 0031 28 0 1 1 10
994375 0032 52 0 1 1 10
996375 0033 F8 0 1 1 10
998375 0034 33 0 1 1 10
1000375 0035 F3 0 1 1 10
1002375 0036 12 0 1 1 10
1004375 0037 52 0 1 1 10
1006375 0038 12 0 1 1 10
1008375 0039 FB 0 1 1 10
1010375 003A 28 0 1 1 10
1012375 003B 52 0 1 1 10
1014375 003C F8 0 1 1 10
1016375 003D 04 0 1 1 10
1018375 003E F2 0 1 1 10
1020375 003F 12 0 1 1 10
1022375 0040 52 0 1 1 10
1024375 0041 12 0 1 1 10
1026375 0042 FA 0 1 1 10
1028375 0043 FF 0 1 1 10
1030375 0044 52 0 1 1 10
1032375 0045 12 0 1 1 10
1034375 0046 F8 0 1 1 10
1036375 0047 85 0 1 1 10
1038375 0048 F6 0 1 1 10
1040375 0049 52 0 1 1 10
1042375 004A 12 0 1 1 10
1044375 004B F8 0 1 1 10
1046375 004C 85 0 1 1 10
1048375 004D FE 0 1 1 10
1050375 004E 52 0 1 1 10
1052375 004F 12 0 1 1 10
1054375 0050 F8 0 1 1 10
1056375 0051 85 0 1 1 10
1058375 0052 76 0 1 1 10
1060375 0053 52 0 1 1 10
1062375 0054 12 0 1 1 10
1064375 0055 F8 0 1 1 10
1066375 0056 1D 0 1 1 10
1068375 0057 7E 0 1 1 10
1070375 0058 52 0 1 1 10
1072375 0059 F8 0 1 1 10
1074375 005A F0 0 1 1 10
1076375 005B F4 0 1 1 10
1078375 005C 12 0 1 1 10
1080375 005D 52 0 1 1 10
1082375 005E 12 0 1 1 10
1084375 005F FC 0 1 1 10
1086375 0060 F0 0 1 1 10
1088375 0061 52 0 1 1 10
1090375 0062 12 0 1 1 10
1092375 0063 F8 0 1 1 10
1094375 0064 2D 0 1 1 10
1096375 0065 74 0 1 1 10
1098375 0066 52 0 1 1 10
1100375 0067 12 0 1 1 10
1102375 0068 7C 0 1 1 10
1104375 0069 F0 0 1 1 10
1106375 006A 52 0 1 1 10
1108375 006B 12 0 1 1 10
1110375 006C F8 0 1 1 10
1112375 006D 0E 0 1 1 10
1114375 006E F5 0 1 1 10
1116375 006F 52 0 1 1 10
1118375 0070 12 0 1 1 10
1120375 0071 F8 0 1 1 10
1122375 0072 92 0 1 1 10
1124375 0073 F5 0 1 1 10
1126375 0074 52 0 1 1 10
1128375 0075 12 0 1 1 10
1130375 0076 F8 0 1 1 10
1132375 0077 20 0 1 1 10
1134375 0078 75 0 1 1 10
1136375 0079 52 0 1 1 10
1138375 007A 12 0 1 1 10
1140375 007B FD 0 1 1 10
1142375 007C F0 0 1 1 10
1144375 007D 52 0 1 1 10
1146375 007E 12 0 1 1 10
1148375 007F 7D 0 1 1 10
1150375 0080 F0 0 1 1 10
1152375 0081 52 0 1 1 10
1154375 0082 12 0 1 1 10
1156375 0083 F8 0 1 1 10
1158375 0084 92 0 1 1 10
1160375 0085 F7 0 1 1 10
1162375 0086 52 0 1 1 10
1164375 0087 12 0 1 1 10
1166375 0088 F8 0 1 1 10
1168375 0089 71 0 1 1 10
1170375 008A 7F 0 1 1 10
1172375 008B F2 0 1 1 10
1174375 008C 52 0 1 1 10
1176375 008D 12 0 1 1 10
1178375 008E F8 0 1 1 10
1180375 008F 4A 0 1 1 10
1182375 0090 77 0 1 1 10
1184375 0091 52 0 1 1 10
1186375 0092 12 0 1 1 10
1188375 0093 F8 0 1 1 10
1190375 0094 1B 0 1 1 10
1192375 0095 FF 0 1 1 10
1194375 0096 1A 0 1 1 10
1196375 0097 52 0 1 1 10
1198375 0098 30 0 1 1 10
1200375 0099 B1 0 1 1 10
1202375 009A D7 0 1 1 10
1204375 009B 09 1 1 1 10
1206375 009C 09 1 1 1 10
1208375 009D 09 1 1 1 10
1210375 009E 09 1 1 1 10
1212375 009F 09 1 1 1 10
1214375 00A0 09 1 1 1 10
1216375 00A1 09 1 1 1 10
1218375 00A2 09 1 1 1 10
1220375 00A3 09 1 1 1 10
1222375 00A4 09 1 1 1 10
1224375 00A5 09 1 1 1 10
1226375 00A6 09 1 1 1 10
1228375 00A7 09 1 1 1 10
1230375 00A8 09 1 1 1 10
1232375 00A9 09 1 1 1 10
1234375 00AA 09 1 1 1 10
1236375 00AB 09 1 1 1 10
1238375 00AC 09 1 1 1 10
1240375 00AD 09 1 1 1 10
1242375 00AE 09 1 1 1 10
1244375 00AF 09 1 1 1 10
1246375 00B0 09 1 1 1 10
1248375 00B1 09 1 1 1 10
1250375 00B2 09 1 1 1 10
1252375 00B3 09 1 1 1 10
